Station,New Record,New Record Date,Old Record,Old Record Date,Period of Record,LAT,LONG
CHARLESTON INTL AP,11.5,10/03/15,10.52,09/21/98,1938-2015,32.90,-80.04
SUMTER,10.67,10/04/15,8.68,09/17/45,1901-2015,33.94,-80.36
MONCKS CORNER 4 N,9.4,10/04/15,7.6,12/19/09,1948-2015,33.24,-79.99
ANDREWS,8.8,10/04/15,7.6,10/07/05,1962-2015,33.44,-79.57
SALUDA,7.74,10/04/15,7.15,10/01/29,1902-2015,34.00,-81.77
LITTLE MTN,7.35,10/04/15,7.04,06/24/24,1893-2015,34.19,-81.42
COLUMBIA METRO AP,6.87,10/04/15,5.79,07/09/59,1948-2015,33.94,-81.12
MANNING,8.55,10/04/15,5.65,09/05/79,1948-2015,33.70,-80.20
ANTREVILLE,6.1,10/04/15,5.1,09/18/75,1952-2015,34.29,-81.53
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
