Station,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,24hr,2-day,3-day,4-day,7-day
Anderson AP,0.03,0.11,0.01,0.19,0.64,1.42,2.24,0.02,0,2.24,3.66,4.3,4.49,
Andrews ,0.15,0.1,0.5,1.7,1.67,4.18,8.8,3.5,0.2,8.8,12.98,16.48,18.15,20.55
Bamberg,0.02,0.02,0.03,0.9,0.1,2.65,3.01,2.62,0.07,3.01,5.66,8.28,8.35,9.38
Charleston AP,0,0,0.41,1.37,1.61,11.5,2.81,0.03,0,11.5,14.31,15.92,17.29,
Columbia Metro,0.1,0.02,0.01,0.08,0.46,3.57,6.87,0.54,0,6.87,10.44,10.98,11.44,
Florence AP,0.14,0.03,0.67,0.55,4.73,2.03,3.04,0.79,0.08,4.73,6.76,9.8,10.59,11.89
Grvl/Spart AP,0.15,0.17,0.05,0.06,1.26,2.99,1.99,0.01,0,2.99,4.98,6.24,6.3,6.67
Little Mountain,0.29,0.21,0.07,0.02,0.11,2.73,7.35,2.19,0.38,7.35,10.08,12.27,12.65,12.85
Sumter,0.15,0.62,0.02,0.33,0.16,2.75,10.67,8.08,0.57,10.67,18.75,21.5,22.07,22.63
Yemassee,0,0,0,0.05,0.14,2.65,2.8,3,0.5,3,5.8,8.45,8.95,
Aiken 2 E,0.08,0.07,0.00,0.05,0.16,0.71,2.05,0.60,0.11,2.05,2.76,3.36,3.52,
Barnwell,0.04,0.04,0.05,0.02,0.43,2.90,2.67,2.70,0.10,2.90,5.57,8.27,8.70,8.87
Beaufort MCAS,0.00,0.01,0.06,0.50,1.01,2.34,0.74,0.09,0.00,2.34,3.35,4.09,4.59,4.75
Chesterfield 3 E,0.10,0.20,0.00,0.48,0.90,7.20,0.75,0.12,0.26,7.20,8.10,8.85,9.33,
Greenwood Co AP,0.12,0.21,0.00,0.07,0.48,3.12,3.45,0.20,0.00,3.45,6.57,7.05,7.25,
Jocassee 8 WNW,0.34,1.41,0.29,0.77,1.21,0.86,4.50,0.07,0.00,4.50,5.36,6.57,7.34,9.38
Laurens,0.16,0.22,0.22,0.00,0.73,1.64,4.50,2.00,0.16,4.50,6.50,8.14,8.87,
Marion,0.28,0.10,0.00,0.00,1.00,2.61,2.12,2.50,0.60,2.61,4.73,7.23,8.23,
Rock Hill York Co AP,0.10,0.79,0.02,0.54,0.88,1.36,0.00,0.27,0.00,1.36,2.24,2.78,2.80,
Winnsboro,0.24,0.52,0.10,0.02,0.04,1.65,3.92,4.00,0.36,4.00,7.92,9.57,9.93,10.25
,,,,,,,,,,,,,,
