Station,New Record,Old Record,Old Record Year,Period of Record,LAT,LONG,,
SULLIVANS ISLAND,32.22,28.65,1994,1951-2015,32.76,-79.85,,
COLUMBIA UNIV OF SC,29.2,23.40,1959,1954-2015,33.98,-81.02,,
CHARLESTON INTL AP,29.9,23.11,1994,1938-2015,32.90,-80.04,,
GRNVL SPART AP,24.13,23.08,1975,1962-2015,34.88,-82.22,,
SUMTER,33.85,23.05,1990,1901-2015,33.94,-80.36,,
ANDREWS,34.43,23.02,1999,1962-2015,33.44,-79.57,,
WALTERBORO 1 SW,24.52,22.96,1959,1903-2015,32.88,-80.68,,
CHESNEE 7 WSW,26.17,22.91,1975,1928-2015,35.11,-81.97,,
NEWBERRY,26.36,22.45,1985,1893-2015,34.30,-81.62,,
SPARTANBURG 3 SSE,24.71,21.95,1990,1983-2015,34.91,-81.91,,
GREENVILLE DWTN AP,21.97,21.42,1977,1884-2015,34.85,-82.35,,
CLEMSON UNIV,23.91,21.29,1936,1930-2015,34.66,-82.82,,
SANTUCK,26.46,21.26,1929,1893-2015,34.63,-81.52,,
UNION 8 S,24.44,21.25,1976,1949-2015,34.61,-81.66,,
BAMBERG,24.97,21.00,1992,1951-2015,33.30,-81.03,,
ANTREVILLE,24.68,20.78,1957,1952-2015,34.29,-82.53,,
CHERAW,21.49,20.61,1945,1893-2015,34.73,-79.88,,
LOCKHART,21.91,20.19,1990,1926-2015,34.78,-81.46,,
WATEREE DAM,21.23,20.14,1948,1893-2015,34.33,-80.70,,
SANDHILL RSCH,29.97,19.94,1959,1957-2015,34.14,-80.87,,
COLUMBIA METRO AP,26.08,19.88,1959,1948-2015,33.94,-81.12,,
WINNSBORO,27.82,19.47,1957,1896-2015,34.37,-81.09,,
CHESTER 1 SE,22.55,19.46,1957,1922-2015,34.68,-81.20,,
LITTLE MTN,28.74,19.32,1992,1893-2015,34.19,-81.42,,
FT MILL 4 NW,19.56,19.03,1989,1928-2015,35.02,-81.01,,
WOODRUFF 5 NW,23.99,18.94,2002,1970-2015,34.76,-82.11,,
CATAWBA,19.04,18.28,1976,1906-2015,34.86,-80.92,,
FLORENCE RGNL AP,22.1,17.89,2008,1948-2015,34.19,-79.72,,
MONCKS CORNER 4 N,28.2,17.14,2006,1948-2015,33.24,-79.99,,
GREAT FALLS,19.66,16.82,1957,1940-2015,34.56,-80.89,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
